xcenter,ycenter,fwhm,flux_2_apcor,flux_4_apcor,flux_6_apcor,flux_8_apcor,flux_10_apcor,err_2_apcor,err_4_apcor,err_6_apcor,err_8_apcor,err_10_apcor,RA_GAIA_WCS,DEC_GAIA_WCS,GAIA_CAT_RA,GAIA_CAT_DEC
3926.193182073633,163.9718388281935,8.593781433042595,1.8484391232977205e-19,4.58242258138499e-19,6.999251534775439e-19,8.214723258043328e-19,9.019786291198029e-19,2.496507801928546e-19,4.673251313823998e-19,5.973868019799644e-19,6.624643106389303e-19,7.050658942741127e-19,181.63570782255965,2.1706764196918273,-999.0,-999.0
3915.1644628150925,191.0025067844953,3.369775829284875,1.1960683425007332e-19,3.061247182991288e-19,6.073843999347683e-19,8.283491497616157e-19,9.264055410892067e-19,2.009148151487245e-19,3.82159121203994e-19,5.565081741179483e-19,6.648429679797661e-19,7.137817709439923e-19,181.63598453281003,2.1703798500185303,-999.0,-999.0
1129.0605652824786,204.39683422348415,5.349172998159227,6.029612426918056e-19,1.1059349624022434e-18,1.5627127634274204e-18,1.789552878858426e-18,1.906034477783563e-18,4.504749602566612e-19,7.25283638125673e-19,8.91317976862374e-19,9.753886044129408e-19,1.0209318714599057e-18,181.61991119742208,2.135175075057664,-999.0,-999.0
2398.7544175908047,289.48204278670573,0.18610910371189193,3.3619214280238966e-19,8.512831313379614e-19,2.0272080690687407e-18,2.534363155270272e-18,2.837109971258937e-18,3.368159480387849e-19,6.372345859983525e-19,1.0161672399114116e-18,1.1623632290298335e-18,1.2481588947800637e-18,181.62838649764217,2.150687348370484,-999.0,-999.0
1955.2140638435728,328.2192744644901,2.400708684951654,2.727929126505158e-16,2.626866730066782e-16,2.5696203482777866e-16,2.5097939762180983e-16,2.467466585790271e-16,9.577936824907658e-18,1.1170671700794032e-17,1.141705273581124e-17,1.1529383988601108e-17,1.1579054427881802e-17,181.62628946057987,2.1448695268021822,181.6262889646424,2.144868720750987
2143.860676734336,417.9696987756229,8.168270008383187,1.5634498216518917e-18,3.3830366577268773e-18,5.338356886739737e-18,6.987307894588439e-18,8.23870251381805e-18,7.273711502464267e-19,1.273352970936742e-18,1.6567519118817407e-18,1.9435431102413905e-18,2.1491681521165837e-18,181.62852145338678,2.1467249348532853,-999.0,-999.0
2768.1986327405157,404.2460323537859,11.77565361012656,3.7189267318469015e-19,9.060911763489085e-19,1.6019902144608028e-18,1.983527324047523e-18,2.1176148666438187e-18,3.5387368164551096e-19,6.565998358321733e-19,9.02444527102242e-19,1.0267276060349344e-18,1.0758062626615863e-18,181.63198806987828,2.154676450122652,-999.0,-999.0
712.5153295837142,407.43633605048836,2.3389849197044805,3.203702940712184e-17,3.050042099420217e-17,2.988265518964096e-17,2.9140291045536874e-17,2.867987516894986e-17,3.2823294447836e-18,3.8064078931362e-18,3.893447588664742e-18,3.928663053827637e-18,3.947806207422831e-18,181.62004430043876,2.1287401400585964,181.62004452770333,2.128740525448474
1816.0559205533766,466.3647545111024,4.6614749565027624,9.477090955430823e-19,1.9178727344106685e-18,3.1514447898029894e-18,4.459166256332521e-18,5.558176671975827e-18,5.650256500031686e-19,9.557369977951805e-19,1.2667638657916657e-18,1.5408390155509417e-18,1.7444350044150476e-18,181.62722096241356,2.1423100080501163,-999.0,-999.0
652.5414717082443,566.0622843684185,4.547444548963859,1.0178658325054546e-15,1.5734432198145327e-15,1.6734292641563914e-15,1.6481932729409096e-15,1.621481733735659e-15,1.8502568588225864e-17,2.7342905209275953e-17,2.914434403096413e-17,2.956355401647894e-17,2.971614625940853e-17,181.62169578165674,2.1270596209036214,181.62169606425346,2.1270591869001123
1790.8546393384904,554.2691082729074,4.520822694924816,1.3677512013294292e-18,2.3770083091890025e-18,3.2160539749660688e-18,3.802250731539548e-18,4.182851723370563e-18,6.784871744309516e-19,1.0633990225144943e-18,1.2789219507215508e-18,1.4221625764804999e-18,1.5129467919962854e-18,181.62818298898458,2.1414800155656155,-999.0,-999.0
3163.147890230834,539.0181621635455,8.12780692625328,4.380024042735426e-19,9.636692878105309e-19,1.4236429013117504e-18,1.6809631924095636e-18,1.8637846277212046e-18,3.8414247994089228e-19,6.774529535690135e-19,8.515584302897393e-19,9.468239391662158e-19,1.0120154285742559e-18,181.63599076298033,2.1588705078746915,-999.0,-999.0
3491.024420688999,535.8233630421944,0.16079938855585715,1.1387955533304724e-19,3.737126246470782e-19,8.661438958448606e-19,1.4103394766031995e-18,1.7720702527053236e-18,1.963671740224227e-19,4.226959458870438e-19,6.65046530988374e-19,8.67744082314373e-19,9.869104777225973e-19,181.63786193436295,2.163022925489049,-999.0,-999.0
1832.3905408207772,588.6319541017234,6.772094792855711,1.8990628554764352e-19,3.908804583316877e-19,5.282326277471873e-19,6.181852051510323e-19,6.555380804171759e-19,2.5304387252673505e-19,4.317521111483177e-19,5.194456263514467e-19,5.755819925729743e-19,6.028370163990266e-19,181.62885863029365,2.141803444737458,-999.0,-999.0
2400.663164458647,632.8710481295681,2.3421979820513488,1.4798680486528477e-16,1.440768767545559e-16,1.4068458431122288e-16,1.37464114239708e-16,1.3517780255657662e-16,7.054499439989685e-18,8.272847322019523e-18,8.447669401653925e-18,8.532370454154677e-18,8.569943070595799e-18,181.63272961085903,2.148710320394213,181.6327297237661,2.1487113640310596
1278.424329373214,648.9248179529925,5.495524166520015,1.84043495666338e-19,4.412235725892239e-19,7.434811834529346e-19,9.47557421467737e-19,1.0544401981839734e-18,2.4910964010663184e-19,4.585908623682552e-19,6.155930868056215e-19,7.110587691449722e-19,7.615067217640781e-19,181.62638978659973,2.13446777839817,-999.0,-999.0
