xcenter,ycenter,fwhm,flux_2_apcor,flux_4_apcor,flux_6_apcor,flux_8_apcor,flux_10_apcor,err_2_apcor,err_4_apcor,err_6_apcor,err_8_apcor,err_10_apcor,RA_GAIA_WCS,DEC_GAIA_WCS,GAIA_CAT_RA,GAIA_CAT_DEC
477.1842054211752,102.50787030685022,5.6253601825950765,5.934283961805639e-16,1.140112910839707e-15,1.2406487931182685e-15,1.3383294283843475e-15,1.344438321521455e-15,1.123373044198374e-17,1.835284456123025e-17,2.1019173919685353e-17,2.2175567270438285e-17,2.2508286253971414e-17,167.76003398976033,40.05370555687405,167.76003979220465,40.05370239372025
2360.1088217897686,122.39716071001345,5.6204738281776265,1.4545621907704478e-19,2.7236389105139027e-19,3.531623319911008e-19,3.6179469972792847e-19,3.839203481769295e-19,1.7604110369443814e-19,2.841144992430295e-19,3.555209408702206e-19,3.6643117915736497e-19,3.8356193704999946e-19,167.779125139845,40.075396511789855,-999.0,-999.0
3749.8049202910206,148.50638917494456,0.16523579895177115,4.301137763917064e-20,1.3507754873738267e-19,2.77419032359811e-19,4.446177693974571e-19,5.744481704113627e-19,9.607465140799625e-20,2.0065376820874286e-19,3.1566560301865536e-19,4.0622905626530276e-19,4.683269073411799e-19,167.79339642162137,40.09131620557787,-999.0,-999.0
2835.5674117706685,155.69370152184268,3.6691182606271595,2.3904420923295716e-19,3.793975909187104e-19,4.29566288663294e-19,4.84404113431689e-19,5.128607419961436e-19,2.2550702091203216e-19,3.349405302972143e-19,3.9143058077610807e-19,4.2247297778152764e-19,4.406088826925424e-19,167.78437624354993,40.08065717997211,-999.0,-999.0
2936.1671199738626,194.32645111752714,5.497667480407303,5.998500568521271e-19,1.152991689008045e-18,1.3580074971570173e-18,1.5311218636016053e-18,1.5957572281134175e-18,3.571359496714879e-19,5.835757702544714e-19,6.952467322151196e-19,7.49704126409354e-19,7.747445630406434e-19,167.7859660727367,40.08152886835732,-999.0,-999.0
1548.2990111544934,227.86875323134691,5.860859779248576,6.029801993223518e-19,1.1810435714774674e-18,1.3740428734671672e-18,1.513671419902085e-18,1.5597355301549458e-18,3.5806445483590756e-19,5.906241835829085e-19,6.993255625496329e-19,7.454053221687847e-19,7.659356181109949e-19,167.77262064053102,40.06517378343592,-999.0,-999.0
1253.3808285540038,258.38304403198345,6.498100464607797,2.3283118609691797e-19,5.408903298207693e-19,7.311791851736602e-19,9.043896309508684e-19,9.93466623378819e-19,2.226571959614226e-19,4.0006776259358844e-19,5.108569388490746e-19,5.774504221950497e-19,6.134714765703879e-19,167.7701399308095,40.06151952915444,-999.0,-999.0
2876.4405569584674,282.6568432278563,4.427949558362074,1.4140384202846902e-18,2.4537824097507792e-18,2.9109295824519748e-18,3.399533941818835e-18,3.663544409940758e-18,5.483386847580615e-19,8.513805924276495e-19,1.0179845660722442e-18,1.1172455246800423e-18,1.1740819600306546e-18,167.7867082610741,40.080161167958494,-999.0,-999.0
2207.0176853033063,289.41516343796417,11.607488385955879,1.9349020108020386e-19,4.719796527494769e-19,6.924517508676619e-19,8.6666629565089495e-19,9.798386121915112e-19,2.0306550426388303e-19,3.7390634142271254e-19,4.974435840120581e-19,5.658095493251471e-19,6.100815925317275e-19,167.7801277408514,40.072344678916444,-999.0,-999.0
3490.6638825799473,312.08175543671405,6.674562802466051,2.316392012514532e-19,5.001758117932317e-19,6.461292199636819e-19,7.807685449566861e-19,8.339747511050634e-19,2.2198699714071283e-19,3.8449794575808894e-19,4.798184801165005e-19,5.358076543701649e-19,5.608597399389731e-19,167.79328737286906,40.087060546760924,-999.0,-999.0
3925.221403975605,325.75021892368716,1.8084881410998122,2.4344307545970295e-17,2.5812396140238942e-17,2.2595458895694608e-17,2.2379335367564268e-17,2.203476655520374e-17,2.2748521886718135e-18,2.760620039089079e-18,2.834891707564056e-18,2.8643210117988073e-18,2.8756272771130023e-18,167.79783449402777,40.09199620939634,167.7978344797743,40.09199466466555
3731.9625492565133,334.0042740628365,2.0542580073058887,3.008229509461785e-17,3.203080323567829e-17,2.828173334865124e-17,2.820395157989083e-17,2.7930130988918896e-17,2.5287870176511924e-18,3.0752693610473296e-18,3.171722058906383e-18,3.2157760027523246e-18,3.237982801621553e-18,167.796029396248,40.08969168206448,167.79603051947498,40.0896936102959
76.31436150773592,379.91322390916883,5.605905277147485,9.639171747023713e-19,1.875695838711917e-18,2.3237435342646712e-18,2.659573602254537e-18,2.836598648964638e-18,4.52712287332216e-19,7.443005355108383e-19,9.093768501897168e-19,9.879135870504826e-19,1.0326156743803258e-18,167.76023776694416,40.046936245274786,-999.0,-999.0
1680.9422691171044,451.37696861026996,8.016195903154717,4.705430359208339e-19,1.055341929514636e-18,1.4368043720623549e-18,1.9093722610087096e-18,2.283236119749738e-18,3.1642464132419374e-19,5.585846634326186e-19,7.156304243472949e-19,8.379960746536146e-19,9.27906203344292e-19,167.7773308616142,40.065004967701896,-999.0,-999.0
865.307075706088,449.17967528034256,4.660739471068457,3.994690677882409e-19,6.941668110114846e-19,7.730652403443305e-19,8.380649625459926e-19,8.693506655929366e-19,2.914550501920147e-19,4.528545267148541e-19,5.246718523175998e-19,5.54891371340713e-19,5.722651784403046e-19,167.76915831077218,40.05556022593269,-999.0,-999.0
1452.9100111606267,472.25313463408037,4.746861052626825,1.594703705345443e-19,2.994518860834944e-19,3.7439581525611378e-19,4.198082203703057e-19,4.4700119141386155e-19,1.842158620552202e-19,2.976068422186268e-19,3.6546540621491624e-19,3.9336975989228335e-19,4.114658476911762e-19,167.77537137621732,40.06220032317607,-999.0,-999.0
340.77610788365655,504.55210611000285,3.42614614880643,3.6006699768290183e-19,5.424077181715316e-19,5.841296138317673e-19,6.597881358341918e-19,6.936902872898552e-19,2.767285032329582e-19,4.0038577341081085e-19,4.562673961753462e-19,4.927000581587026e-19,5.118087129726885e-19,167.76476402176968,40.049052324023705,-999.0,-999.0
1906.0771192636419,512.4987922159481,14.586637150467851,5.571104570147908e-20,1.6052801216774585e-19,2.578289656790634e-19,3.307965762606422e-19,3.7782649126991083e-19,1.0905862545188762e-19,2.1821519192656795e-19,3.0376250675097387e-19,3.49933984410301e-19,3.7945468279775605e-19,167.78050396152344,40.06714949685511,-999.0,-999.0
1457.5723022470715,511.3227962653876,3.398444477059357,4.024952088282983e-19,5.618976527920757e-19,5.717107665788116e-19,6.158008368726742e-19,6.507489458048431e-19,2.9256486080736213e-19,4.0748949884511863e-19,4.513579890906186e-19,4.759706989601222e-19,4.956666512308569e-19,167.7760098306786,40.061955930622574,-999.0,-999.0
465.2538237909468,546.1415099111504,7.019627643299492,4.873906635547912e-19,1.0231690465240458e-18,1.3833766340541429e-18,1.7152724024620102e-18,1.9111579282899252e-18,3.2198086851401197e-19,5.498805901819162e-19,7.019553552974103e-19,7.9390720598203295e-19,8.484826460328339e-19,167.76663586896646,40.05017869950179,-999.0,-999.0
2991.969442878125,600.6315874731766,5.599831864893419,2.3386286466171604e-19,4.480638140095655e-19,5.307404856612751e-19,6.030415718163295e-19,6.44664347597966e-19,2.230525920818612e-19,3.639505289172138e-19,4.349774015016017e-19,4.711479329791261e-19,4.935642592753935e-19,167.7926800073934,40.0790713955587,-999.0,-999.0
2812.505481079873,646.0892636950966,9.212252865851456,1.9030438952097095e-19,4.464920104615647e-19,6.763350898791908e-19,9.099325229499164e-19,1.0871025274579427e-18,2.0132032681534355e-19,3.635331795952285e-19,4.913226899545996e-19,5.790779322468882e-19,6.412483514133595e-19,167.79157687264524,40.07664249541401,-999.0,-999.0
115.5475422072804,653.9922470519608,8.707097842715436,9.729149483438567e-20,2.2348697840929605e-19,3.1000982837953054e-19,3.9506206398663067e-19,4.738651313799148e-19,1.4396688909508088e-19,2.572526947172363e-19,3.328075226812368e-19,3.8192485225865225e-19,4.239697244122608e-19,167.7647809976783,40.04529802075888,-999.0,-999.0
1275.806401935297,739.6930119022552,5.443415838728355,1.3649676543299694e-19,3.0130780201638676e-19,4.315668073172719e-19,5.795214702178066e-19,6.783608127618046e-19,1.7049648478235709e-19,2.9865116227264516e-19,3.925426815492989e-19,4.622589197707746e-19,5.068046567786442e-19,167.7776556726203,40.058102784391046,-999.0,-999.0
730.936570143237,779.4125455094219,4.032267845512525,1.378845927568291e-18,2.3243291068620623e-18,2.7241249031402813e-18,3.127605754513974e-18,3.3211418223993674e-18,5.414632402767119e-19,8.285994842256045e-19,9.847443899108337e-19,1.0715792827457913e-18,1.1178034890487049e-18,167.77282035440754,40.051478843779186,-999.0,-999.0
2125.584005461798,804.8916395052411,2.071595037468873,8.991604158962551e-18,9.4235763274974e-18,8.22868731083544e-18,8.156047949757244e-18,8.027776766751122e-18,1.3825365052674864e-18,1.6680577482579253e-18,1.7108715919938882e-18,1.729384518399161e-18,1.7361008359227583e-18,167.7871250322608,40.067461558322286,-999.0,-999.0
1927.2609482168534,881.243784810626,8.872117485892478,1.0178300582383072e-19,2.5390434252851346e-19,3.5454121420804284e-19,4.2385012571268204e-19,4.403879294909021e-19,1.4724103735573672e-19,2.7414154662873804e-19,3.557859675551104e-19,3.954594333399537e-19,4.088194271300204e-19,167.78630208385403,40.06457779470418,-999.0,-999.0
3864.0611045438727,928.7203022339198,7.548358596667839,1.7179503154191343e-19,4.169164740657867e-19,5.894610272670488e-19,7.588804636152801e-19,8.582835547805311e-19,1.9125726670827963e-19,3.5121889831481765e-19,4.58608724459324e-19,5.287615562043134e-19,5.697848618848773e-19,167.8063607992107,40.086678390322064,-999.0,-999.0
690.4918742266542,931.5495436829375,5.537996761064791,1.544161275055055e-19,3.192561712383321e-19,3.9700802463469913e-19,4.837662372206831e-19,5.136460738055287e-19,1.8129265331337122e-19,3.073153620662865e-19,3.763954759630953e-19,4.222825157698764e-19,4.410968896936218e-19,167.77472141103166,40.04984745728928,-999.0,-999.0
2358.229851118263,968.1057491175993,2.254427861481322,8.048399262985051e-17,8.586338875969366e-17,7.527028381774091e-17,7.464543082016853e-17,7.35954746280509e-17,4.136280393959635e-18,5.034990397813711e-18,5.174196253449441e-18,5.231308690960777e-18,5.255613828237738e-18,167.79192027933306,40.06891279258919,167.7919176134601,40.06891325024221
2582.6073449544515,1021.3734602791134,5.1175005713756665,1.1274046637562468e-19,2.7701593474082703e-19,4.406422584511445e-19,6.427355732810561e-19,7.658809373382768e-19,1.5503180599582577e-19,2.8651239409736803e-19,3.9685509207444995e-19,4.870552541202754e-19,5.388617831408439e-19,167.79496746639325,40.071108161474264,-999.0,-999.0
3976.481751354897,1021.8896013114992,8.991642255643594,1.1337621819901202e-19,2.494701134938501e-19,3.5431980767338437e-19,4.25738950388601e-19,4.72498554134925e-19,1.5541068586808528e-19,2.7180907393654846e-19,3.558043382388307e-19,3.9657549723137767e-19,4.2371805448142775e-19,167.80889549466016,40.087269999873854,-999.0,-999.0
354.9078034764427,1043.6795569159772,2.0958104958799106,1.0061194892404137e-17,1.0601855150904233e-17,9.270512584928845e-18,9.180818918014239e-18,9.04701991714768e-18,1.4624540482234177e-18,1.7692627936863974e-18,1.8159319740013473e-18,1.8347774828765336e-18,1.8429489929444955e-18,167.77307168194298,40.04509803767513,-999.0,-999.0
1338.5704847997022,1042.6176946402502,2.931326300879843,2.3567712989092497e-19,3.680969317368889e-19,4.4122376421100485e-19,5.277552223867142e-19,6.226216746975302e-19,2.2391823053741934e-19,3.299336550215823e-19,3.967152324737043e-19,4.409236078839892e-19,4.851705093452336e-19,167.78287103921545,40.056516430035266,-999.0,-999.0
