xcenter,ycenter,fwhm,flux_2_apcor,flux_4_apcor,flux_6_apcor,flux_8_apcor,flux_10_apcor,err_2_apcor,err_4_apcor,err_6_apcor,err_8_apcor,err_10_apcor,RA_GAIA_WCS,DEC_GAIA_WCS,GAIA_CAT_RA,GAIA_CAT_DEC
477.35302793434795,103.3709806854859,5.4644494301956135,6.422061135367318e-16,1.151612755504431e-15,1.37557339376322e-15,1.5354378618022332e-15,1.6341596921005547e-15,1.2122513055520972e-17,1.939946570409298e-17,2.232375678427177e-17,2.3967526349141234e-17,2.513595629204391e-17,167.7600390993904,40.053702899187456,167.76003979220465,40.05370239372025
2359.0501764026426,125.11495921056813,9.069217532790612,1.4680242399076198e-19,3.3551849379546043e-19,5.014135293724289e-19,6.063978226690175e-19,7.259693322437169e-19,1.8342639248758812e-19,3.3145219217124097e-19,4.2680718014251983e-19,4.773811486611087e-19,5.31483877200917e-19,167.7791521316804,40.07536266010094,-999.0,-999.0
2936.011091246733,194.359630829888,5.277094558129609,7.1259627772298845e-19,1.281883867399561e-18,1.6313629968773342e-18,1.8237006539567554e-18,1.859526525153811e-18,4.037972300823978e-19,6.471974938917538e-19,7.686717127583534e-19,8.258002949588917e-19,8.476023761586765e-19,167.78596336097772,40.081524995559185,-999.0,-999.0
1077.8673293324741,228.17806792158737,4.300465596178268,1.2469024846895979e-19,2.1708616222092695e-19,2.83066134768308e-19,3.782366919365449e-19,4.103851257052426e-19,1.6903368581971842e-19,2.6667766515951286e-19,3.209192769190822e-19,3.773213553900362e-19,4.003302539818214e-19,167.76792345201736,40.0597150108014,-999.0,-999.0
1548.6052551226105,228.24000551917052,5.790340673909766,5.887840031992595e-19,1.1124891703652413e-18,1.361953174634593e-18,1.4866055631480166e-18,1.4938685139466885e-18,3.6706565321498792e-19,6.029680308224486e-19,7.024554832307234e-19,7.458275960142998e-19,7.601713090592473e-19,167.7726233146777,40.065174625499075,-999.0,-999.0
1253.2313688121826,258.623743977406,5.2935266325984935,2.7933867756703554e-19,5.543680327202876e-19,7.7921940106723265e-19,1.01491137602979e-18,1.1794422433345516e-18,2.529843770208735e-19,4.2603302407615824e-19,5.320934759173761e-19,6.17496961031181e-19,6.773814278177687e-19,167.7701351969409,40.06151643940733,-999.0,-999.0
2876.0753670681565,281.6523153139227,4.7129972849530235,6.575987859014025e-19,1.1424484352527775e-18,1.4797378237796687e-18,1.7356073303969866e-18,1.853154239036249e-18,3.8794991728773834e-19,6.111237310695519e-19,7.323698616274612e-19,8.061282626955397e-19,8.47013076481666e-19,167.7866877105452,40.08016267899337,-999.0,-999.0
2206.1651765724823,286.80501707994006,6.755575631320549,2.828591096226035e-19,6.012911247762933e-19,8.393705308803677e-19,1.0443686829269645e-18,1.164328246935684e-18,2.5466552334757265e-19,4.438911064476725e-19,5.526572416695813e-19,6.272383159047237e-19,6.746280874809614e-19,167.78007587702135,40.0723537642959,-999.0,-999.0
3490.690636959686,312.11708832783256,7.009389596553978,1.8385726355923033e-19,3.799131767313027e-19,5.47536069014081e-19,6.572650280142428e-19,6.784186063603527e-19,2.052062892648932e-19,3.5257342417561245e-19,4.457820857257294e-19,4.96594564363268e-19,5.134637395811702e-19,167.79328850653945,40.087057693304494,-999.0,-999.0
3925.380209073493,325.47478263198667,1.6570410532743307,1.2763295723958197e-17,1.1854145419096827e-17,1.115187802528761e-17,1.0969899684970128e-17,1.0704174565837223e-17,1.7086858749621876e-18,1.9676628378000655e-18,2.008961581273356e-18,2.0239692368499077e-18,2.0311903127588406e-18,167.7978336457724,40.09199659915916,167.7978344797743,40.09199466466555
3732.1587890657274,333.78109398769413,2.084108024957038,3.751837196732324e-17,3.611390292493435e-17,3.427498662449917e-17,3.394490662228435e-17,3.3287720648405964e-17,2.9295557219414158e-18,3.4343850445272677e-18,3.521897662998881e-18,3.560163517046279e-18,3.5816140225108335e-18,167.7960291144712,40.08969236780341,167.79603051947498,40.0896936102959
76.16349449125876,380.1251561771999,7.120701378402965,6.280604108198314e-19,1.271096414001409e-18,1.741506507009649e-18,1.9281220317208433e-18,2.01663654039181e-18,3.791269277264861e-19,6.445454663444256e-19,7.943310401277277e-19,8.493819046823717e-19,8.83131381877858e-19,167.7602290692378,40.04693478081604,-999.0,-999.0
1681.0559390840626,451.8340352572409,7.682805044285896,5.770459096406885e-19,1.200816548905964e-18,1.79566143805585e-18,2.3795785195707263e-18,2.8594220101632406e-18,3.6348343153809692e-19,6.266697040406823e-19,8.069360061399138e-19,9.44039080595117e-19,1.0520707005217521e-18,167.77733375814358,40.065002199379855,-999.0,-999.0
865.2781666086777,449.14490792558973,3.9980059296233224,5.17814841025482e-19,8.082787920472791e-19,9.541235888694874e-19,1.0041229248630611e-18,9.967429799747194e-19,3.442302006418626e-19,5.139837979048517e-19,5.880228784265538e-19,6.131360033338397e-19,6.212702701468674e-19,167.7691497325746,40.05556075207976,-999.0,-999.0
1453.1076691694939,472.84731971939755,5.457915622881555,1.2763815311075817e-19,2.576204118923003e-19,3.6250802392857383e-19,4.391556574911635e-19,4.788248182167257e-19,1.7103826205855963e-19,2.9049503154722355e-19,3.6306770813213365e-19,4.0655384967828457e-19,4.3237682163861675e-19,167.77537650266257,40.062197763121965,-999.0,-999.0
465.51802799830074,546.2823157990838,9.227855066486203,2.982303451717229e-19,6.796994000957171e-19,1.024459846564402e-18,1.2779790421237906e-18,1.3992421022382813e-18,2.6132146155438433e-19,4.714757935374409e-19,6.094970537831476e-19,6.918967011931486e-19,7.362407009332456e-19,167.76663178705908,40.05018163578377,-999.0,-999.0
2811.7387773879896,647.318385549531,6.843715582994288,1.489547173585891e-19,3.650139105554314e-19,6.194776061804479e-19,8.751974084592053e-19,9.790246328490998e-19,1.849222039065108e-19,3.4604902345228793e-19,4.749155021916226e-19,5.741195188133529e-19,6.1847557056687e-19,167.79158664494744,40.07662151078437,-999.0,-999.0
1276.1224226321672,739.7521363821876,6.751632440097781,9.99300428525933e-20,2.1970666933544096e-19,3.148061879137918e-19,4.2006306851378713e-19,5.102331394296558e-19,1.514414852630092e-19,2.68488732968884e-19,3.3877079476717036e-19,3.982380720748603e-19,4.470543993895791e-19,167.77765381531086,40.05810531131436,-999.0,-999.0
730.9976284613266,779.4266647694475,3.572622389448161,9.678206985891244e-19,1.511331202767408e-18,1.9319910183361908e-18,2.207463876221769e-18,2.3112461515356516e-18,4.705973501517472e-19,7.0279648525358525e-19,8.366326778262857e-19,9.087724709735805e-19,9.453369147503484e-19,167.7728136119687,40.0514794549029,-999.0,-999.0
1927.6526278137555,881.4050111126705,8.269678396372447,1.3530088385345272e-19,3.140907949574492e-19,4.666565693554333e-19,5.955011948860366e-19,6.549219747722914e-19,1.7606980901872608e-19,3.2062816464685833e-19,4.1162275297969847e-19,4.727610669269173e-19,5.04488014266853e-19,167.7863048696264,40.06457913772483,-999.0,-999.0
3865.8273440054463,927.2456215814902,4.570285968123843,1.4651892613881102e-19,2.963833648234198e-19,4.403345815815608e-19,5.450590313541486e-19,6.091854575594791e-19,1.8327177396452675e-19,3.116328061618765e-19,4.0019303751720997e-19,4.529740024841269e-19,4.876927301142074e-19,167.80635878306217,40.086705252686976,-999.0,-999.0
2358.380703290956,967.9982003373387,2.3574648140290555,1.1245173690965167e-16,1.0530781263071354e-16,9.945296053491955e-17,9.818622697672965e-17,9.614813728570624e-17,5.071801355022188e-18,5.864625845028055e-18,5.9991917741419966e-18,6.054795388473749e-18,6.086838259258962e-18,167.79191812335173,40.068912565527896,167.7919176134601,40.06891325024221
2582.621227713873,1022.147925726078,0.9713490963941943,1.258592030415215e-19,3.0751281646634887e-19,5.515915187686385e-19,8.740862263701292e-19,1.1235631715870796e-18,1.7007133262413112e-19,3.17834646373514e-19,4.484463801252818e-19,5.739836938193501e-19,6.623226276714549e-19,167.7949781215241,40.07109915157361,-999.0,-999.0
355.1618122907474,1043.8235628384703,2.202553795876125,7.413564304825129e-18,6.971328328600601e-18,6.592302236573159e-18,6.459522336444984e-18,6.3198456107125075e-18,1.3022651012840937e-18,1.5090013799854077e-18,1.5447421623394092e-18,1.5534069004973463e-18,1.5612727301372154e-18,167.77306813654312,40.04509981595965,-999.0,-999.0
3403.593110973309,1052.0873041597945,8.892874688006788,1.7152260200695395e-19,4.2015722781230656e-19,6.306723421721725e-19,8.20385679732586e-19,8.92161707993097e-19,1.9825610639139005e-19,3.708467329688621e-19,4.7853908517030385e-19,5.5489444067555e-19,5.888448726885007e-19,167.80363241964244,40.08039067012465,-999.0,-999.0
3298.7135114277053,1152.2477263889448,8.574509460968367,4.825667224164112e-19,1.0980552749820445e-18,1.8094574737810066e-18,2.6545729778424836e-18,3.3237673955430977e-18,3.326653664292843e-19,5.998698329503665e-19,8.111165547331256e-19,9.98782532803712e-19,1.1369270362022602e-18,167.80410238907746,40.07840868847855,-999.0,-999.0
2794.8138075802176,1150.4132570649417,3.4383885613727827,3.416103274020048e-19,6.009832280910659e-19,8.120618460620514e-19,9.657784402756294e-19,1.0002359470125978e-18,2.7965395030732464e-19,4.433475623854585e-19,5.427409382422064e-19,6.016999583583114e-19,6.229817318585424e-19,167.79904099650483,40.072579335813586,-999.0,-999.0
2433.8739803624853,1183.396847817596,3.1900746854512145,4.0667935806990336e-19,5.96826363943551e-19,7.222069162420656e-19,7.9972578396850775e-19,8.277283268236349e-19,3.051478459108588e-19,4.419355148027754e-19,5.121815431524896e-19,5.482976303274366e-19,5.680906998868905e-19,167.795935751092,40.068141486799,-999.0,-999.0
