xcenter,ycenter,fwhm,flux_2_apcor,flux_4_apcor,flux_6_apcor,flux_8_apcor,flux_10_apcor,err_2_apcor,err_4_apcor,err_6_apcor,err_8_apcor,err_10_apcor,RA_GAIA_WCS,DEC_GAIA_WCS,GAIA_CAT_RA,GAIA_CAT_DEC
3343.229639205011,162.0464881832578,4.064162782406502,9.074247893652584e-19,1.4708396381754212e-18,1.6169190157396802e-18,1.817400960631387e-18,1.9100842092077568e-18,4.3908808606874275e-19,6.590156096987067e-19,7.588200546984083e-19,8.17525061400629e-19,8.492785792170711e-19,198.65028499928047,-3.122614862728344,-999.0,-999.0
1074.4473536397452,170.1114081747391,2.123019031660669,7.399578049984348e-17,7.355829334805374e-17,6.421546291023083e-17,6.404872347871394e-17,6.302175151126557e-17,3.963790670665089e-18,4.657591468040813e-18,4.776384186707908e-18,4.842921533058992e-18,4.860476285658735e-18,198.63460866251924,-3.149959527699557,198.63460645132812,-3.1499604508615473
1705.9712030633962,164.8843070712906,4.19826780901064,4.822948150681601e-19,8.037335981693643e-19,8.807286520605731e-19,9.691967103590254e-19,1.003055992664414e-18,3.2011084467983256e-19,4.871440152817839e-19,5.600085173291536e-19,5.96984898048152e-19,6.154318594460594e-19,198.63893639280874,-3.1423273446438023,-999.0,-999.0
3809.9293680824403,205.54926119825726,9.706661712114844,7.004276574881466e-19,1.6241204995035111e-18,2.3431025550705144e-18,3.0242608220455453e-18,3.486504619793341e-18,3.85993696876184e-19,6.929181944833659e-19,9.140030343071505e-19,1.055273359731138e-18,1.1481884929110856e-18,198.65405351933458,-3.1173036592244343,-999.0,-999.0
3314.8726985912554,244.51463233204876,3.6200521443876115,3.007807487468354e-18,4.706161989171665e-18,5.286619941996268e-18,6.051686903760119e-18,6.568046580349794e-18,7.9934519068215795e-19,1.178642116960917e-18,1.3716710858454392e-18,1.4909410629393878e-18,1.5731374789270935e-18,198.65108109434547,-3.1235288816453957,-999.0,-999.0
726.1945885944787,274.98794455788766,2.309797755425603,1.2134342446485445e-16,1.2545303293428456e-16,1.0992939977718873e-16,1.0977910494303646e-16,1.0810212528035955e-16,5.075932183462029e-18,6.082572270134148e-18,6.2494104286092755e-18,6.340411156949983e-18,6.365911556593295e-18,198.63345054739963,-3.154876894600146,198.6334506903272,-3.1548716604393134
2624.4543834429096,270.7892354270783,1.9802836607342962,1.856160007099703e-17,1.8161928166223008e-17,1.58310915350853e-17,1.5781730011804358e-17,1.5515944569731766e-17,1.9852638353807825e-18,2.3143937385692192e-18,2.37170720353105e-18,2.404267164199718e-18,2.4122433604660174e-18,198.6465975733055,-3.132015719324748,198.6465992318911,-3.1320176130518664
213.97115624468307,289.4954144057919,6.346466202287106,4.676863606084399e-19,1.0577390099189564e-18,1.4457817262511536e-18,1.817207849219837e-18,2.000917988306287e-18,3.152978882157644e-19,5.589335097345675e-19,7.175171290476264e-19,8.172499359272503e-19,8.686824380808569e-19,198.6300639613636,-3.1611386109019115,-999.0,-999.0
2262.4188910173348,305.45036870702666,7.524189032977549,6.147859719825446e-19,1.4563081930401696e-18,1.921575005374712e-18,2.322113442116756e-18,2.546687124426754e-18,3.6159960205700026e-19,6.560620564935817e-19,8.276869458112146e-19,9.248188099843253e-19,9.817555266577276e-19,198.64449803589244,-3.136611053887453,-999.0,-999.0
3172.945772507176,330.91350746966106,8.50604453108321,1.8993552003567965e-19,4.342061714084509e-19,5.782301111945025e-19,6.919010246371419e-19,7.380019536438939e-19,2.010658680448624e-19,3.5844005087482353e-19,4.544444766863371e-19,5.056066753134517e-19,5.299683975756913e-19,198.65113496914373,-3.1258362210716353,-999.0,-999.0
